id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4,score_c09,plif_c09,SC2_c09,SC4_c09
53,NC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.375,0.0238960495699233,-4.775028700000001,0.2189152441429412,5.375,4.775028700000001,5.44668814870977,5.431774432428824,-5.087,0.27023158120058327,5.087,5.8976947436017495
54,NC1CN(S(=O)(=O)c2cccc3cnccc23)C1,-4.601,0.0,-4.5178391,0.2670195267884885,4.601,4.5178391,4.601,5.318897680365465,-5.062,0.3129314312011044,5.062,6.000794293603313
55,NCC1CCCCN1S(=O)(=O)c1ccnc2ccccc12,-5.107,0.0,-4.807058,0.1649137131863982,5.107,4.807058,5.107,5.301799139559194,-5.026,0.009220284626177591,5.026,5.053660853878532
56,NCC1CCCN(S(=O)(=O)c2cccnc2)C1,-4.68,0.0,-4.3078716,0.1913860441624525,4.68,4.3078716,4.68,4.882029732487358,-4.414,0.1286535216585838,4.414,4.799960564975751
57,NCC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.547,0.0,-4.932031,0.1921647027984348,5.547,4.932031,5.547,5.508525108395305,-5.085,0.28438599542456555,5.085,5.938157986273697
58,NCCC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.248,0.0,-4.864417,0.1812076670117153,5.248,4.864417,5.248,5.408040001035145,-5.119,0.3283086475049037,5.119,6.103925942514711
59,NS(=O)(=O)c1ccnc2ccccc12,-4.307,0.0,-4.2272783,0.1826093407698686,4.307,4.2272783,4.307,4.775106322309606,-4.276,0.4844101046632691,4.276,5.729230313989807
60,N[C@@H]1CCN(S(=O)(=O)c2ccc(-n3ccnc3)c3ccccc23)C1,-5.301,0.0219804885087416,-5.3254725,0.2268038531203527,5.301,5.3254725,5.366941465526225,6.005884059361058,-5.338,0.1928360716774705,5.338,5.916508215032412
61,N[C@H]1CCN(C(=O)c2ccnc3ccccc23)C1,-5.307,0.0,-4.8892405,0.1832384732298412,5.307,4.8892405,5.307,5.438955919689524,-5.188,0.21318880808891047,5.188,5.827566424266731
62,N[C@H]1CCN(S(=O)(=O)c2cccnc2)C1,-4.541,0.0,-4.1591735,0.1903907753864159,4.541,4.1591735,4.541,4.730345826159248,-4.145,0.0,4.145,4.145
63,N[C@H]1CCN(S(=O)(=O)c2nc3ccccc3s2)C1,-5.227,0.0,-4.7218694,0.1906264404027503,5.227,4.7218694,5.227,5.293748721208251,-4.786,0.024968435460842278,4.786,4.860905306382526
64,Nc1ccc(S(=O)(=O)N2CCCNCC2)cc1,-3.357,0.0,-3.1946828000000003,0.1629894348243714,3.357,3.1946828000000003,3.357,3.6836511044731135,-3.439,0.36895126225801705,3.439,4.545853786774051
65,Nc1ccc(S(=O)(=O)N2CCNCC2)cc1,-4.532,0.0,-4.2932335,0.3409125239784121,4.532,4.2932335,4.532,5.315971071935237,-4.264,0.4095942669158417,4.264,5.492782800747525
66,Nc1ccc(S(=O)(=O)N2CCNCC2)cn1,-4.579,0.0,-4.274475,0.1540614426229259,4.579,4.274475,4.579,4.736659327868778,-4.289,0.0,4.289,4.289
67,Nc1cccc(N2CCN(S(=O)(=O)c3ccnc4ccccc34)CC2)c1,-6.214,0.0,-5.4865346,0.1702356724506445,6.214,5.4865346,6.214,5.997241617351934,-5.396,0.15759017664949848,5.396,5.868770529948495
68,Nc1cccc(S(=O)(=O)N2CCCNCC2)c1,-3.434,0.0128820733163923,-3.2366962,0.2377225979123601,3.434,3.2366962,3.472646219949177,3.94986399373708,-3.35,0.35479684803403483,3.35,4.414390544102105
69,Nc1nccc(N2CCC(NS(=O)(=O)c3ccnc4ccccc34)CC2)n1,-5.713,0.0,-5.7592689,0.1879020659455002,5.713,5.7592689,5.713,6.322975097836501,-6.237,0.190035469336889,6.237,6.807106408010667
70,Nc1nccc(S(=O)(=O)N2CCCNCC2)n1,-3.449,0.0013507978422093,-3.1758467,0.1785766890826444,3.449,3.1758467,3.453052393526628,3.7115767672479336,-3.304,0.20202222761670557,3.304,3.9100666828501165
71,O=C(Nc1ccc2ccccc2c1)N1CCCNCC1,-4.211,0.0,-4.1059818,0.2577806191423114,4.211,4.1059818,4.211,4.879323657426935,-4.146,0.25082893789750677,4.146,4.89848681369252
72,O=C1CN(S(=O)(=O)c2ccnc3ccccc23)CCN1,-5.164,0.0,-5.0841461,0.2317701481745172,5.164,5.0841461,5.164,5.779456544523551,-4.982,0.014154414223982234,4.982,5.024463242671947
73,O=S(=O)(/C=C/c1cccc2ncccc12)N1CCCN(C2CC2)CC1,-3.911,0.0,-3.8919731,0.1880815286207635,3.911,3.8919731,3.911,4.456217685862291,-4.079,0.27023158120058327,4.079,4.8896947436017495
74,O=S(=O)(CN1CCCNCC1)c1cccnc1,-3.179,0.0,-3.0109475,0.1149122018541437,3.179,3.0109475,3.179,3.355684105562431,-3.196,0.31196812207515406,3.196,4.131904366225463
75,O=S(=O)(Cc1ccccc1)N1CCCNCC1,-3.441,0.0289402302975292,-3.1590145,0.2311005147257318,3.441,3.1590145,3.5278206908925878,3.8523160441771953,-3.322,0.34064243381005255,3.322,4.343927301430158
76,O=S(=O)(N1CCNCC1)N1CCCc2ccccc2C1,-4.038,0.0,-3.6649008,0.2488389113437361,4.038,3.6649008,4.038,4.411417534031209,-3.869,0.016962331759481194,3.869,3.9198869952784436
77,O=S(=O)(NC1CC2CCC(C1)N2)c1ccnc2ccccc12,-5.349,0.0,-5.2750304,0.2098609931230633,5.349,5.2750304,5.349,5.90461337936919,-5.519,0.36895172338210314,5.519,6.625855170146309
78,O=S(=O)(NC1CCCNC1)c1ccnc2ccccc12,-5.62,0.0384886298280419,-5.071488400000001,0.1874104455771829,5.62,5.071488400000001,5.735465889484126,5.63371973673155,-5.237,0.007851751801524339,5.237,5.260555255404573
79,O=S(=O)(NC1CCN(CCF)C1)c1ccnc2ccccc12,-5.057,0.2182337050189583,-4.7994972,0.2115371489015927,5.057,4.7994972,5.711701115056876,5.434108646704779,-5.09,0.42593479234559134,5.09,6.367804377036774
