condition,seed,pose_rank,energy,hit,com_dist_to_site
A_blind,13,9,-2.758,0,139.4093150105244
A_blind,13,10,-2.745,0,51.44201661640455
A_blind,13,11,-2.736,0,135.05785143635214
A_blind,13,12,-2.667,0,48.39248989323924
A_blind,13,13,-2.667,0,40.283104523801654
A_blind,13,14,-2.647,0,126.48038456747842
A_blind,13,15,-2.588,0,46.337781409013864
A_blind,13,16,-2.578,0,123.9856818186447
A_blind,13,17,-2.533,0,44.315265230227276
A_blind,13,18,-2.506,0,134.90773530706423
A_blind,13,19,-2.504,0,124.65092231795443
A_blind,13,20,-2.451,0,127.97979843930794
A_blind,14,1,-3.416,0,142.08348080770324
A_blind,14,2,-3.384,0,27.560974163042314
A_blind,14,3,-3.281,0,64.24939156558588
A_blind,14,4,-3.26,0,134.16639064449302
A_blind,14,5,-3.191,0,122.7156671839752
A_blind,14,6,-3.165,0,134.39556380096244
A_blind,14,7,-2.886,0,122.66731573668056
A_blind,14,8,-2.861,0,30.648751075951058
A_blind,14,9,-2.835,0,18.06820074940245
A_blind,14,10,-2.806,0,61.56634978059796
A_blind,14,11,-2.777,0,133.61527758066865
A_blind,14,12,-2.776,0,142.55173512769954
A_blind,14,13,-2.749,0,124.76382985564798
A_blind,14,14,-2.744,0,65.00126071194038
A_blind,14,15,-2.732,0,40.328740816957236
A_blind,14,16,-2.729,0,18.26584495891529
A_blind,14,17,-2.664,0,62.836483987332294
A_blind,14,18,-2.629,0,12.650270332499113
A_blind,14,19,-2.414,0,40.75565401146168
A_blind,14,20,-2.398,0,142.9560034532737
A_blind,15,1,-3.497,0,10.618228582188257
A_blind,15,2,-3.257,1,9.288047812009381
A_blind,15,3,-3.193,1,8.869821615850888
A_blind,15,4,-3.015,0,34.65705007179395
A_blind,15,5,-2.953,0,11.520629916844843
A_blind,15,6,-2.931,0,52.166163509956974
A_blind,15,7,-2.907,0,11.53908296414198
A_blind,15,8,-2.809,0,40.12209428178251
A_blind,15,9,-2.753,0,114.18181492686514
A_blind,15,10,-2.725,0,112.73697403944594
A_blind,15,11,-2.713,0,36.53850417257378
A_blind,15,12,-2.702,0,45.29111865306695
A_blind,15,13,-2.702,0,75.60632877388223
A_blind,15,14,-2.622,0,24.01764559291575
A_blind,15,15,-2.6,0,112.80207964745637
A_blind,15,16,-2.553,0,61.57134279499654
A_blind,15,17,-2.522,0,113.78308537041707
A_blind,15,18,-2.511,0,124.62343837135565
A_blind,15,19,-2.459,0,27.176287668401674
A_blind,15,20,-2.416,0,37.63387344899874
A_blind,16,1,-2.797,0,135.58261464845816
A_blind,16,2,-2.372,0,40.98988780921494
A_blind,16,3,-2.322,0,35.278701636504195
A_blind,16,4,-2.32,0,36.67416933581757
A_blind,16,5,-2.314,0,138.72224063880924
A_blind,16,6,-2.298,0,134.9459333337641
A_blind,16,7,-2.289,0,95.86611952496335
A_blind,16,8,-2.256,0,35.68525369699916
A_blind,16,9,-2.238,0,133.3398936152863
A_blind,16,10,-2.231,0,112.64165627445217
A_blind,16,11,-2.229,1,11.243042846188512
A_blind,16,12,-2.167,0,113.54974980183356
A_blind,16,13,-2.16,0,116.7360668340394
A_blind,16,14,-2.159,0,34.574596297345636
A_blind,16,15,-2.126,0,68.9478962870182
A_blind,16,16,-2.112,0,135.70164304795674
A_blind,16,17,-2.089,0,107.36222639580951
A_blind,16,18,-2.078,0,123.38559322986785
A_blind,16,19,-2.063,0,83.32452594406696
A_blind,16,20,-2.037,0,120.02293530975774
A_blind,17,1,-3.019,0,136.41337184887783
A_blind,17,2,-2.961,0,16.55512078927746
A_blind,17,3,-2.942,0,67.08090450581263
A_blind,17,4,-2.929,0,141.71509725061944
A_blind,17,5,-2.686,0,34.60963902879698
A_blind,17,6,-2.647,0,134.84578315933774
A_blind,17,7,-2.644,0,72.75545171298042
A_blind,17,8,-2.573,0,111.99224558138539
A_blind,17,9,-2.524,0,98.00324975169106
A_blind,17,10,-2.471,0,16.4845549742002
A_blind,17,11,-2.431,0,37.40173482481017
A_blind,17,12,-2.404,0,118.12583012890543
A_blind,17,13,-2.323,0,87.01951512417625
A_blind,17,14,-2.309,0,67.94958187005419
A_blind,17,15,-2.265,0,84.37997785305389
A_blind,17,16,-2.215,0,116.9598981630796
A_blind,17,17,-2.192,0,95.9794022020728
A_blind,17,18,-2.187,0,35.029719639802416
A_blind,17,19,-2.074,0,105.01029815200467
A_blind,17,20,-2.059,0,36.34442497539038
A_blind,18,1,-4.033,0,137.0717957433811
A_blind,18,2,-3.455,0,136.0785469296007
A_blind,18,3,-3.394,0,137.21586185954308
A_blind,18,4,-3.242,0,135.9457165306409
A_blind,18,5,-3.104,0,135.78799213355467
A_blind,18,6,-3.06,0,133.7866573534329
A_blind,18,7,-2.838,0,102.66195252229451
A_blind,18,8,-2.721,0,74.40567747009766
A_blind,18,9,-2.53,0,132.8583133892421
A_blind,18,10,-2.519,0,99.14886670705745
A_blind,18,11,-2.511,0,105.95553218294577
A_blind,18,12,-2.472,0,61.407142679914216
A_blind,18,13,-2.458,0,121.05813251782642
A_blind,18,14,-2.423,0,102.84006583039734
A_blind,18,15,-2.417,0,134.09831458160016
A_blind,18,16,-2.349,0,109.94485103559933
A_blind,18,17,-2.287,0,131.25956156918429
A_blind,18,18,-2.215,0,111.46736693466951
A_blind,18,19,-2.019,0,105.75304045363325
A_blind,18,20,-1.918,0,93.44769138165144
A_blind,19,1,-3.551,0,133.97035369582872
A_blind,19,2,-3.526,0,51.7782657521811
A_blind,19,3,-3.514,0,140.31114455317538
A_blind,19,4,-3.214,1,10.751102588905995
A_blind,19,5,-3.192,0,134.5981875474569
A_blind,19,6,-3.159,0,142.44003892536566
A_blind,19,7,-3.11,0,142.1553602063065
A_blind,19,8,-3.081,0,52.10643768741931
A_blind,19,9,-2.934,0,92.26798841545171
A_blind,19,10,-2.929,0,95.90961506668728
A_blind,19,11,-2.924,1,9.53202449414971
A_blind,19,12,-2.884,0,142.12734922059
