id,smiles,score_1xq8,plif_1xq8,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4
43,Cc1ccc2c(S(=O)(=O)N3C[C@H]4CN[C@H]4C3)ccnc2c1,-5.741,0.0,-5.1990644999999995,0.2141110856582775,5.741,5.1990644999999995,5.741,5.841397756974832
44,Cn1ccc2cc(S(=O)(=O)N3CCNCC3)ccc21,-4.88,0.0,-4.8540796,0.24134430352929437,4.88,4.8540796,4.88,5.578112510587884
45,N#Cc1ccc2c(S(=O)(=O)N3CCCNC3)ccnc2c1,-5.469,0.0,-5.169050400000001,0.2485591790699019,5.469,5.169050400000001,5.469,5.914727937209706
46,N#Cc1ccc2c(S(=O)(=O)N3C[C@H]4CNC[C@H]4C3)ccnc2c1,-5.436,0.0,-5.4007525,0.2330409283410414,5.436,5.4007525,5.436,6.099875285023124
47,N=C(N)N1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-3.965,0.021980488508741694,-3.7968732000000003,0.1932625446266942,3.965,3.7968732000000003,4.030941465526225,4.3766608338800825
48,N=C(N)N1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.777,0.0,-5.2234150999999995,0.1961136993454814,5.777,5.2234150999999995,5.777,5.811756198036444
49,NC1CCN(S(=O)(=O)c2ccc(Cl)nc2)CC1,-4.929,0.0,-4.4217559,0.22213462096343195,4.929,4.4217559,4.929,5.088159762890296
50,NC1CCN(S(=O)(=O)c2cccc3ccccc23)CC1,-5.341,0.0,-5.180797200000001,0.24157069045884885,5.341,5.180797200000001,5.341,5.905509271376547
51,NC1CCN(S(=O)(=O)c2cccnc2)CC1,-4.697,0.0,-4.2026698,0.12325462054783318,4.697,4.2026698,4.697,4.572433661643499
52,NC1CCN(S(=O)(=O)c2ccnc3ccccc23)C1,-4.916,0.0,-4.742877000000001,0.21197981583256262,4.916,4.742877000000001,4.916,5.378816447497689
53,NC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.375,0.023896049569923396,-4.775028700000001,0.21891524414294122,5.375,4.775028700000001,5.44668814870977,5.431774432428824
54,NC1CN(S(=O)(=O)c2cccc3cnccc23)C1,-4.601,0.0,-4.5178391,0.26701952678848856,4.601,4.5178391,4.601,5.318897680365465
55,NCC1CCCCN1S(=O)(=O)c1ccnc2ccccc12,-5.107,0.0,-4.807058,0.16491371318639828,5.107,4.807058,5.107,5.301799139559194
56,NCC1CCCN(S(=O)(=O)c2cccnc2)C1,-4.68,0.0,-4.3078716,0.1913860441624525,4.68,4.3078716,4.68,4.882029732487358
57,NCC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.547,0.0,-4.932031,0.19216470279843484,5.547,4.932031,5.547,5.508525108395305
58,NCCC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.248,0.0,-4.8644169999999995,0.1812076670117153,5.248,4.8644169999999995,5.248,5.408040001035145
59,NS(=O)(=O)c1ccnc2ccccc12,-4.307,0.0,-4.2272783,0.18260934076986862,4.307,4.2272783,4.307,4.775106322309606
60,N[C@@H]1CCN(S(=O)(=O)c2ccc(-n3ccnc3)c3ccccc23)C1,-5.301,0.021980488508741694,-5.3254725,0.22680385312035276,5.301,5.3254725,5.366941465526225,6.005884059361058
61,N[C@H]1CCN(C(=O)c2ccnc3ccccc23)C1,-5.307,0.0,-4.8892405,0.18323847322984124,5.307,4.8892405,5.307,5.438955919689524
62,N[C@H]1CCN(S(=O)(=O)c2cccnc2)C1,-4.541,0.0,-4.1591735,0.1903907753864159,4.541,4.1591735,4.541,4.7303458261592475
63,N[C@H]1CCN(S(=O)(=O)c2nc3ccccc3s2)C1,-5.227,0.0,-4.7218694,0.1906264404027503,5.227,4.7218694,5.227,5.293748721208251
64,Nc1ccc(S(=O)(=O)N2CCCNCC2)cc1,-3.357,0.0,-3.1946828000000003,0.16298943482437142,3.357,3.1946828000000003,3.357,3.6836511044731144
65,Nc1ccc(S(=O)(=O)N2CCNCC2)cc1,-4.532,0.0,-4.2932335,0.3409125239784121,4.532,4.2932335,4.532,5.315971071935237
66,Nc1ccc(S(=O)(=O)N2CCNCC2)cn1,-4.579,0.0,-4.274475,0.15406144262292593,4.579,4.274475,4.579,4.736659327868778
67,Nc1cccc(N2CCN(S(=O)(=O)c3ccnc4ccccc34)CC2)c1,-6.214,0.0,-5.4865346,0.17023567245064455,6.214,5.4865346,6.214,5.997241617351934
68,Nc1cccc(S(=O)(=O)N2CCCNCC2)c1,-3.434,0.01288207331639238,-3.2366962,0.2377225979123601,3.434,3.2366962,3.472646219949177,3.9498639937370803
69,Nc1nccc(N2CCC(NS(=O)(=O)c3ccnc4ccccc34)CC2)n1,-5.713,0.0,-5.7592689,0.1879020659455002,5.713,5.7592689,5.713,6.322975097836501
70,Nc1nccc(S(=O)(=O)N2CCCNCC2)n1,-3.449,0.0013507978422093822,-3.1758467,0.17857668908264446,3.449,3.1758467,3.453052393526628,3.7115767672479336
71,O=C(Nc1ccc2ccccc2c1)N1CCCNCC1,-4.211,0.0,-4.1059818,0.25778061914231143,4.211,4.1059818,4.211,4.8793236574269345
72,O=C1CN(S(=O)(=O)c2ccnc3ccccc23)CCN1,-5.164,0.0,-5.0841461,0.2317701481745172,5.164,5.0841461,5.164,5.779456544523551
73,O=S(=O)(/C=C/c1cccc2ncccc12)N1CCCN(C2CC2)CC1,-3.911,0.0,-3.8919731000000004,0.18808152862076355,3.911,3.8919731000000004,3.911,4.456217685862291
74,O=S(=O)(CN1CCCNCC1)c1cccnc1,-3.179,0.0,-3.0109475,0.1149122018541437,3.179,3.0109475,3.179,3.355684105562431
75,O=S(=O)(Cc1ccccc1)N1CCCNCC1,-3.441,0.028940230297529214,-3.1590145,0.2311005147257318,3.441,3.1590145,3.5278206908925873,3.8523160441771953
76,O=S(=O)(N1CCNCC1)N1CCCc2ccccc2C1,-4.038,0.0,-3.6649008,0.24883891134373615,4.038,3.6649008,4.038,4.411417534031209
77,O=S(=O)(NC1CC2CCC(C1)N2)c1ccnc2ccccc12,-5.349,0.0,-5.2750303999999995,0.20986099312306336,5.349,5.2750303999999995,5.349,5.90461337936919
78,O=S(=O)(NC1CCCNC1)c1ccnc2ccccc12,-5.62,0.0384886298280419,-5.071488400000001,0.18741044557718295,5.62,5.071488400000001,5.735465889484126,5.63371973673155
79,O=S(=O)(NC1CCN(CCF)C1)c1ccnc2ccccc12,-5.057,0.21823370501895836,-4.7994972,0.2115371489015927,5.057,4.7994972,5.711701115056876,5.434108646704779
80,O=S(=O)(NC1CCN2CCCC[C@H]2C1)c1ccnc2ccccc12,-5.508,0.0,-5.5397172,0.22812390154566667,5.508,5.5397172,5.508,6.224088904637
